patient_id,fname,mname,lname,gender,marital_status,date_of_birth,aadhar_number
1,John,A.,Doe,Male,Single,15-01-1980,1.23457E+11
2,Jane,B.,Smith,Female,Married,22-03-1975,1.23457E+11
3,Alice,C.,Johnson,Female,Single,18-05-1982,1.23457E+11
4,Robert,D.,Brown,Male,Married,12-07-1978,1.23457E+11
5,Mary,E.,Davis,Female,Widowed,30-09-1990,1.23457E+11
6,James,F.,Miller,Male,Single,11-02-1983,1.23457E+11
7,Patricia,G.,Wilson,Female,Married,23-08-1977,1.23457E+11
8,Michael,H.,Moore,Male,Divorced,03-11-1985,1.23457E+11
9,Linda,I.,Taylor,Female,Single,05-04-1989,1.23457E+11
10,William,J.,Anderson,Male,Married,10-12-1974,1.23457E+11
11,Barbara,K.,Thomas,Female,Single,17-10-1992,1.23457E+11
12,Richard,L.,Jackson,Male,Married,14-05-1986,1.23457E+11
13,Elizabeth,M.,White,Female,Divorced,20-01-1988,1.23457E+11
14,Charles,N.,Harris,Male,Single,25-06-1981,1.23457E+11
15,Susan,O.,Martin,Female,Married,07-09-1976,1.23457E+11
16,Joseph,P.,Garcia,Male,Widowed,09-03-1991,1.23457E+11
17,Margaret,Q.,Martinez,Female,Single,29-08-1984,1.23457E+11
18,Thomas,R.,Robinson,Male,Married,12-11-1987,1.23457E+11
19,Karen,S.,Clark,Female,Single,04-02-1990,1.23457E+11
20,Christopher,T.,Rodriguez,Male,Married,03-10-1979,1.23457E+11
